
Broodworks,jobs@broodworks.com
Buffalo Studios,jobs@buffalo-studios.com
Bungie Studios,jobs@bungie.net
Buzz Monkey Software (Zynga),jobs@buzzmonkey.com
Cadillac Jack,jobs@cadillacjack.com
Canopy Games,jobs@canopygames.com
Capcom,jobs@capcom.com
Carbine Studios (NCsoft),jobs@carbinestudios.com
Carbon Games,jobs@carbongames.com
Carpe Fulgur,jobs@carpefulgur.com
Cascade Game Foundry,jobs@cascadegamefoundry.com
Cat Daddy Games,jobs@catdaddy.com
Controlled Chaos Media,jobs@cchaosmedia.com
CCP North America,jobs@ccpgames.com
White Wolf Publishing (CCP Games),jobs@ccpgames.com
CDR Entertainment,jobs@cdrentertainment.com
Celeris,jobs@celeris.com
Centerscore (Vivendi),jobs@centerscore.com
Certain Affinity,jobs@certainaffinity.com
Chair Entertainment Group (Epic Games),jobs@chairentertainmentgroup.com
Chances Media Entertainment,jobs@chancesmedia.com
Checkpoint Studios,jobs@checkpoint-studios.com
Chewy Software,jobs@chewysoftware.net
Chronic Logic,jobs@chroniclogic.com
Cambridge Interactive Development Corporation (CIDC),jobs@cidc.com
Cie Studios,jobs@ciestudios.com
Cie Studios,jobs@ciestudios.com
Cipher Prime Studios,jobs@cipherprime.com
City State Entertainment,jobs@citystateentertainment.com
CleverMedia,jobs@clevermedia.com
ClickShake Games,jobs@clickshakegames.com
Collision Studios,jobs@collisionstudios.com
com2us,jobs@com2us.com/ENGGlobal
Comfy,jobs@comfyland.com
Concrete Software,jobs@concretesoftware.com
Conspiracy Entertainment,jobs@conspiracygames.com
Coresoft,jobs@coresoft.com
Disney Interactive Media Group,jobs@corporate.disney.go.com
Disney Interactive Media Group,jobs@corporate.disney.go.com
Disney Interactive Media Group,jobs@corporate.disney.go.com
Crackpot Entertainment,jobs@crackpotentertainment.com
Crate Entertainment,jobs@crateentertainment.com
Crave Entertainment,jobs@cravegames.com
Creat Studios,jobs@creatstudio.com
Critical Mass Interactive,jobs@criticalmassinteractive.com
Crosscut Games,jobs@crosscutgames.com
Crowdpark,jobs@crowdpark.com
Crowdstar International,jobs@crowdstar.com
Cryptic Sea,jobs@crypticsea.com
